batch_id,scenario_id,observed_runs,total_flows,total_requests,successful_requests,failed_requests,request_success_rate_percent,request_error_rate_percent,flow_success_rate_percent,latency_p50_ms,latency_p95_ms,latency_p99_ms,request_throughput_per_active_second,max_observed_concurrency,fault_injected_requests
20260727T185227,baseline,5,307,594,453,141,76.262626,23.737374,54.071661,229.534,1454.464,30583.497,3.04188,10,0
20260727T185227,baseline_constant,5,1431,2771,2111,660,76.181884,23.818116,53.878407,221.072,30174.709,30864.284,3.936779,10,0
20260727T185227,burst,5,10562,20731,15676,5055,75.616227,24.383773,52.139746,220.193,30122.934,30805.556,9.349044,20,218
20260727T185227,direct_vs_middleware,14,1590,1590,0,1590,0.0,100.0,0.0,50.019,177.479,376.383,1.930818,3,0
20260727T185227,error_injection,6,868,1722,1365,357,79.268293,20.731707,58.870968,226.231,18023.424,30667.123,3.180361,15,69
20260727T185227,flow_type_comparison_direct,6,1037,2251,2048,203,90.981786,9.018214,80.424301,257.957,30235.307,30865.698,3.262503,15,0
20260727T185227,flow_type_comparison_middleware,15,1687,1687,0,1687,0.0,100.0,0.0,53.507,276.944,401.527,1.913223,4,0
20260727T185227,live_smoke_small,8,122,196,126,70,64.285714,35.714286,42.622951,212.101,979.032,18646.516,1.341593,2,0
20260727T185227,load_ramp,5,6066,11750,8934,2816,76.034043,23.965957,53.577316,218.478,30211.383,30817.615,10.054603,30,0
20260727T185227,stress_extreme,5,134779,256242,189193,67049,73.83372,26.16628,50.252636,243.824,45167.916,45798.751,19.162563,60,12521
